ProdutoId;ProdutoRelacionadoId;Score
1;2;3.788337E-07
1;3;1.0164865
1;4;0.9937925
1;5;0.9937925
1;6;3.788337E-07
1;7;3.788337E-07
1;8;0.34856305
1;9;0.34856305
1;10;3.788337E-07
1;11;3.788337E-07
1;13;3.788337E-07
1;14;3.788337E-07
1;15;3.788337E-07
1;16;3.788337E-07
1;17;3.788337E-07
1;20;3.788337E-07
1;21;3.788337E-07
1;22;3.788337E-07
1;24;3.788337E-07
1;26;3.788337E-07
1;27;3.788337E-07
1;35;0.03975593
1;36;0.011430752
1;37;0.02859452
1;39;3.788337E-07
1;40;3.788337E-07
1;42;3.788337E-07
1;43;0.14171177
1;44;0.9937925
1;45;3.788337E-07
1;47;0.09272221
1;48;0.09272221
1;50;3.788337E-07
1;51;3.788337E-07
1;52;3.788337E-07
1;54;3.788337E-07
1;55;3.788337E-07
1;56;3.788337E-07
1;57;0.10918785
1;59;3.788337E-07
1;60;0.041210566
1;61;0.020126507
1;63;3.788337E-07
1;64;3.788337E-07
1;65;0.20312062
1;67;0.010676332
1;69;0.025419341
1;70;0.010676332
1;71;0.06383773
1;73;0.06383773
1;74;3.788337E-07
1;75;3.788337E-07
1;76;3.788337E-07
1;77;3.788337E-07
1;78;3.788337E-07
1;81;0.04069213
1;82;0.04069213
1;83;3.788337E-07
1;84;3.788337E-07
1;85;0.04069213
1;86;0.04069213
1;87;3.788337E-07
1;88;0.04069213
1;89;3.788337E-07
1;90;3.788337E-07
1;91;0.17405507
1;92;0.17405507
1;93;3.788337E-07
1;94;3.788337E-07
1;95;3.788337E-07
1;96;0.016122181
1;97;3.788337E-07
1;99;0.016122181
2;1;3.3461865E-07
2;3;1.0111834
2;4;0.29180366
2;5;0.29180366
2;6;3.3461865E-07
2;7;3.3461865E-07
2;8;0.98884934
2;9;0.98884934
2;10;3.3461865E-07
2;11;3.3461865E-07
2;13;3.3461865E-07
2;14;3.3461865E-07
2;15;3.3461865E-07
2;16;3.3461865E-07
2;17;3.3461865E-07
2;20;3.3461865E-07
2;21;3.3461865E-07
2;22;3.3461865E-07
2;24;3.3461865E-07
2;26;3.3461865E-07
2;27;3.3461865E-07
2;28;0.096527904
2;30;0.096527904
2;31;0.08227225
2;33;0.104757085
2;34;0.121547826
2;35;0.10067769
2;36;0.14197265
2;39;3.3461865E-07
2;40;3.3461865E-07
2;42;3.3461865E-07
2;44;0.29180366
2;45;3.3461865E-07
2;50;3.3461865E-07
2;51;3.3461865E-07
2;52;3.3461865E-07
2;53;0.07954577
2;54;3.3461865E-07
2;55;3.3461865E-07
2;56;3.3461865E-07
2;57;0.09510292
2;58;0.013362178
2;59;3.3461865E-07
2;60;0.03168487
2;61;0.021993697
2;62;0.12011433
2;63;3.3461865E-07
2;64;3.3461865E-07
2;65;0.008587104
2;66;0.018726837
2;68;0.018726837
2;74;3.3461865E-07
2;75;3.3461865E-07
2;76;3.3461865E-07
2;77;3.3461865E-07
2;78;3.3461865E-07
2;83;3.3461865E-07
2;84;3.3461865E-07
2;87;3.3461865E-07
2;89;3.3461865E-07
2;90;3.3461865E-07
2;91;0.12820834
2;92;0.12820834
2;93;3.3461865E-07
2;94;3.3461865E-07
2;95;3.3461865E-07
2;97;3.3461865E-07
3;1;3.5534063E-12
3;2;3.5534063E-12
3;4;4.2453755E-07
3;5;4.2453755E-07
3;6;3.5534063E-12
3;7;3.5534063E-12
3;8;3.7990142E-07
3;9;3.7990142E-07
3;10;3.5534063E-12
3;11;3.5534063E-12
3;12;4.688364E-07
3;13;3.5534063E-12
3;14;3.5534063E-12
3;15;3.5534063E-12
3;16;3.5534063E-12
3;17;3.5534063E-12
3;18;3.7884735E-07
3;19;3.7884735E-07
3;20;3.5534063E-12
3;21;3.5534063E-12
3;22;3.5534063E-12
3;23;4.0795652E-07
3;24;3.5534063E-12
3;25;3.3483454E-07
3;26;3.5534063E-12
3;27;3.5534063E-12
3;28;3.4246466E-07
3;29;5.4660273E-07
3;30;3.4246466E-07
3;31;5.304555E-07
3;32;3.7884735E-07
3;33;4.4044845E-07
3;34;3.0932415E-07
3;35;4.1583806E-07
3;36;5.8938565E-07
3;37;6.5113994E-07
3;38;3.7884735E-07
3;39;3.5534063E-12
3;40;3.5534063E-12
3;41;2.8710122E-07
3;42;3.5534063E-12
3;43;5.378511E-07
3;44;4.2453755E-07
3;45;3.5534063E-12
3;46;3.46104E-07
3;47;2.9921713E-07
3;48;2.9921713E-07
3;49;1.7686095E-07
3;50;3.5534063E-12
3;51;3.5534063E-12
3;52;3.5534063E-12
3;53;4.343446E-07
3;54;3.5534063E-12
3;55;3.5534063E-12
3;56;3.5534063E-12
3;57;4.2072497E-07
3;58;5.524027E-07
3;59;3.5534063E-12
3;60;2.996361E-07
3;61;3.695136E-07
3;62;9.578877E-08
3;63;3.5534063E-12
3;64;3.5534063E-12
3;65;1.0537451E-06
3;66;2.4113092E-07
3;67;3.224226E-07
3;68;2.4113092E-07
3;69;5.6047924E-07
3;70;3.224226E-07
3;71;3.8331652E-07
3;72;2.4242397E-07
3;73;3.8331652E-07
3;74;3.5534063E-12
3;75;3.5534063E-12
